match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home
14778,2020,2021-05-08,Leeds,Tottenham,home,Leeds,Tottenham,83,3,1,3,1,3,1,W,True
14779,2020,2021-05-07,Leicester,Newcastle United,away,Newcastle United,Leicester,33,2,0,2,4,4,2,W,False
14780,2020,2021-05-08,Liverpool,Southampton,home,Liverpool,Southampton,89,2,0,2,0,2,0,W,True
14782,2020,2021-05-08,Sheffield United,Crystal Palace,away,Crystal Palace,Sheffield United,87,2,0,0,2,2,0,W,False
14786,2020,2021-05-15,Burnley,Leeds,away,Leeds,Burnley,59,2,0,0,4,4,0,W,False
14792,2020,2021-05-15,Southampton,Fulham,home,Southampton,Fulham,59,2,0,3,1,3,1,W,True
14793,2020,2021-05-16,Tottenham,Wolverhampton Wanderers,home,Tottenham,Wolverhampton Wanderers,61,2,0,2,0,2,0,W,True
14795,2020,2021-05-18,Brighton,Manchester City,away,Manchester City,Brighton,47,2,0,3,2,2,3,L,False
14796,2020,2021-05-19,Burnley,Liverpool,away,Liverpool,Burnley,51,2,0,0,3,3,0,W,False
14797,2020,2021-05-18,Chelsea,Leicester,home,Chelsea,Leicester,65,2,0,2,1,2,1,W,True
14798,2020,2021-05-19,Crystal Palace,Arsenal,away,Arsenal,Crystal Palace,94,3,1,1,3,3,1,W,False
14802,2020,2021-05-18,Southampton,Leeds,away,Leeds,Southampton,94,2,0,0,2,2,0,W,False
14804,2020,2021-05-19,West Bromwich Albion,West Ham,away,West Ham,West Bromwich Albion,87,3,1,1,3,3,1,W,False
14805,2020,2021-05-23,Arsenal,Brighton,home,Arsenal,Brighton,59,2,0,2,0,2,0,W,True
14806,2020,2021-05-23,Aston Villa,Chelsea,home,Aston Villa,Chelsea,51,2,0,2,1,2,1,W,True
14807,2020,2021-05-23,Fulham,Newcastle United,away,Newcastle United,Fulham,87,2,0,0,2,2,0,W,False
14808,2020,2021-05-23,Leeds,West Bromwich Albion,home,Leeds,West Bromwich Albion,41,2,0,3,1,3,1,W,True
14809,2020,2021-05-23,Leicester,Tottenham,away,Tottenham,Leicester,95,4,2,2,4,4,2,W,False
14810,2020,2021-05-23,Liverpool,Crystal Palace,home,Liverpool,Crystal Palace,73,2,0,2,0,2,0,W,True
14811,2020,2021-05-23,Manchester City,Everton,home,Manchester City,Everton,13,2,0,5,0,5,0,W,True
14813,2020,2021-05-23,West Ham,Southampton,home,West Ham,Southampton,32,2,0,3,0,3,0,W,True
16376,2021,2021-08-13,Brentford,Arsenal,home,Brentford,Arsenal,72,2,0,2,0,2,0,W,True
16377,2021,2021-08-14,Manchester United,Leeds,home,Manchester United,Leeds,53,3,1,5,1,5,1,W,True
16379,2021,2021-08-14,Chelsea,Crystal Palace,home,Chelsea,Crystal Palace,39,2,0,3,0,3,0,W,True
16380,2021,2021-08-14,Everton,Southampton,home,Everton,Southampton,80,3,1,3,1,3,1,W,True
16382,2021,2021-08-14,Watford,Aston Villa,home,Watford,Aston Villa,41,2,0,3,2,3,2,W,True
16383,2021,2021-08-14,Norwich,Liverpool,away,Liverpool,Norwich,64,2,0,0,3,3,0,W,False
16384,2021,2021-08-15,Newcastle United,West Ham,away,West Ham,Newcastle United,65,4,2,2,4,4,2,W,False
16386,2021,2021-08-21,Liverpool,Burnley,home,Liverpool,Burnley,68,2,0,2,0,2,0,W,True
16387,2021,2021-08-21,Manchester City,Norwich,home,Manchester City,Norwich,21,2,0,5,0,5,0,W,True
16388,2021,2021-08-21,Aston Villa,Newcastle United,home,Aston Villa,Newcastle United,61,2,0,2,0,2,0,W,True
16391,2021,2021-08-21,Brighton,Watford,home,Brighton,Watford,40,2,0,2,0,2,0,W,True
16394,2021,2021-08-22,Arsenal,Chelsea,away,Chelsea,Arsenal,34,2,0,0,2,2,0,W,False
16395,2021,2021-08-23,West Ham,Leicester,home,West Ham,Leicester,55,2,0,4,1,4,1,W,True
16396,2021,2021-08-28,Manchester City,Arsenal,home,Manchester City,Arsenal,11,2,0,5,0,5,0,W,True
16400,2021,2021-08-28,Brighton,Everton,away,Everton,Brighton,57,2,0,0,2,2,0,W,False
16406,2021,2021-09-11,Crystal Palace,Tottenham,home,Crystal Palace,Tottenham,83,2,0,3,0,3,0,W,True
16410,2021,2021-09-11,Manchester United,Newcastle United,home,Manchester United,Newcastle United,79,3,1,4,1,4,1,W,True
16412,2021,2021-09-11,Watford,Wolverhampton Wanderers,away,Wolverhampton Wanderers,Watford,82,2,0,0,2,2,0,W,False
16413,2021,2021-09-11,Chelsea,Aston Villa,home,Chelsea,Aston Villa,48,2,0,3,0,3,0,W,True
16414,2021,2021-09-12,Leeds,Liverpool,away,Liverpool,Leeds,49,2,0,0,3,3,0,W,False
16415,2021,2021-09-13,Everton,Burnley,home,Everton,Burnley,65,3,1,3,1,3,1,W,True
16417,2021,2021-09-18,Wolverhampton Wanderers,Brentford,away,Brentford,Wolverhampton Wanderers,33,2,0,0,2,2,0,W,False
16418,2021,2021-09-18,Norwich,Watford,away,Watford,Norwich,79,3,1,1,3,3,1,W,False
16420,2021,2021-09-18,Liverpool,Crystal Palace,home,Liverpool,Crystal Palace,77,2,0,3,0,3,0,W,True
16422,2021,2021-09-18,Aston Villa,Everton,home,Aston Villa,Everton,68,2,0,3,0,3,0,W,True
16423,2021,2021-09-19,Brighton,Leicester,home,Brighton,Leicester,49,2,0,2,1,2,1,W,True
16425,2021,2021-09-19,Tottenham,Chelsea,away,Chelsea,Tottenham,56,2,0,0,3,3,0,W,False
16428,2021,2021-09-25,Everton,Norwich,home,Everton,Norwich,76,2,0,2,0,2,0,W,True
16434,2021,2021-09-26,Arsenal,Tottenham,home,Arsenal,Tottenham,26,2,0,3,1,3,1,W,True
16438,2021,2021-10-02,Chelsea,Southampton,home,Chelsea,Southampton,88,3,1,3,1,3,1,W,True
16439,2021,2021-10-03,Crystal Palace,Leicester,away,Leicester,Crystal Palace,36,2,0,2,2,2,2,D,False
16447,2021,2021-10-16,Aston Villa,Wolverhampton Wanderers,home,Aston Villa,Wolverhampton Wanderers,67,2,0,2,3,2,3,L,True
16450,2021,2021-10-16,Leicester,Manchester United,home,Leicester,Manchester United,90,4,2,4,2,4,2,W,True
16451,2021,2021-10-16,Manchester City,Burnley,home,Manchester City,Burnley,69,2,0,2,0,2,0,W,True
16452,2021,2021-10-17,Newcastle United,Tottenham,away,Tottenham,Newcastle United,48,3,1,2,3,3,2,W,False
16455,2021,2021-10-16,Watford,Liverpool,away,Liverpool,Watford,36,2,0,0,5,5,0,W,False
16456,2021,2021-10-22,Arsenal,Aston Villa,home,Arsenal,Aston Villa,50,2,0,3,1,3,1,W,True
16458,2021,2021-10-23,Brighton,Manchester City,away,Manchester City,Brighton,27,2,0,1,4,4,1,W,False
16459,2021,2021-10-23,Chelsea,Norwich,home,Chelsea,Norwich,17,2,0,7,0,7,0,W,True
16461,2021,2021-10-23,Everton,Watford,away,Watford,Everton,85,4,2,2,5,5,2,W,False
16463,2021,2021-10-24,Manchester United,Liverpool,away,Liverpool,Manchester United,12,2,0,0,5,5,0,W,False
16466,2021,2021-10-31,Aston Villa,West Ham,away,West Ham,Aston Villa,79,3,1,1,4,4,1,W,False
16467,2021,2021-10-30,Burnley,Brentford,home,Burnley,Brentford,31,2,0,3,1,3,1,W,True
16468,2021,2021-10-30,Leicester,Arsenal,away,Arsenal,Leicester,17,2,0,0,2,2,0,W,False
16469,2021,2021-10-30,Liverpool,Brighton,home,Liverpool,Brighton,23,2,0,2,2,2,2,D,True
16470,2021,2021-10-30,Manchester City,Crystal Palace,away,Crystal Palace,Manchester City,87,2,0,0,2,2,0,W,False
16471,2021,2021-10-30,Newcastle United,Chelsea,away,Chelsea,Newcastle United,76,2,0,0,3,3,0,W,False
16473,2021,2021-10-30,Tottenham,Manchester United,away,Manchester United,Tottenham,63,2,0,0,3,3,0,W,False
16475,2021,2021-11-01,Wolverhampton Wanderers,Everton,home,Wolverhampton Wanderers,Everton,31,2,0,2,1,2,1,W,True
16477,2021,2021-11-06,Brentford,Norwich,away,Norwich,Brentford,28,2,0,1,2,2,1,W,False
16480,2021,2021-11-06,Crystal Palace,Wolverhampton Wanderers,home,Crystal Palace,Wolverhampton Wanderers,77,2,0,2,0,2,0,W,True
16483,2021,2021-11-06,Manchester United,Manchester City,away,Manchester City,Manchester United,44,2,0,0,2,2,0,W,False
16485,2021,2021-11-07,West Ham,Liverpool,home,West Ham,Liverpool,73,3,1,3,2,3,2,W,True
16486,2021,2021-11-20,Aston Villa,Brighton,home,Aston Villa,Brighton,88,2,0,2,0,2,0,W,True
16488,2021,2021-11-20,Leicester,Chelsea,away,Chelsea,Leicester,27,2,0,0,3,3,0,W,False
16489,2021,2021-11-20,Liverpool,Arsenal,home,Liverpool,Arsenal,51,2,0,4,0,4,0,W,True
16490,2021,2021-11-21,Manchester City,Everton,home,Manchester City,Everton,54,2,0,3,0,3,0,W,True
16494,2021,2021-11-20,Watford,Manchester United,home,Watford,Manchester United,43,2,0,4,1,4,1,W,True
16496,2021,2021-11-27,Arsenal,Newcastle United,home,Arsenal,Newcastle United,65,2,0,2,0,2,0,W,True
16501,2021,2021-11-27,Crystal Palace,Aston Villa,away,Aston Villa,Crystal Palace,85,2,0,1,2,2,1,W,False
16502,2021,2021-11-28,Leicester,Watford,home,Leicester,Watford,41,3,1,4,2,4,2,W,True
