match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home,leader_team_norm,opponent_team_norm,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
12011,2019,2020-07-21,Watford,Manchester City,away,Manchester City,Watford,39,2,0,0,4,4,0,W,False,Manchester City,Watford,0.0,0.0,1.33,8.62,5.6,0.7518796992481203,Strong Favorite
12012,2019,2020-07-20,Wolverhampton Wanderers,Crystal Palace,home,Wolverhampton Wanderers,Crystal Palace,67,2,0,2,0,2,0,W,True,Wolverhampton Wanderers,Crystal Palace,0.0,0.0,1.5,7.72,4.03,0.6666666666666666,Strong Favorite
12014,2019,2020-07-26,Arsenal,Watford,home,Arsenal,Watford,23,2,0,3,2,3,2,W,True,Arsenal,Watford,0.0,0.0,1.93,3.72,3.89,0.5181347150259068,Moderate
12015,2019,2020-07-26,Southampton,Sheffield United,home,Southampton,Sheffield United,83,3,1,3,1,3,1,W,True,Southampton,Sheffield United,0.0,0.0,2.18,3.34,3.47,0.4587155963302752,Moderate
12016,2019,2020-07-26,Newcastle United,Liverpool,away,Liverpool,Newcastle United,88,3,1,1,3,3,1,W,False,Liverpool,Newcastle United,0.0,0.0,1.4,7.6,4.99,0.7142857142857143,Strong Favorite
12017,2019,2020-07-26,Manchester City,Norwich,home,Manchester City,Norwich,45,2,0,5,0,5,0,W,True,Manchester City,Norwich City,0.0,0.0,1.07,30.42,12.8,0.9345794392523364,Strong Favorite
12018,2019,2020-07-26,Leicester,Manchester United,away,Manchester United,Leicester,97,2,0,0,2,2,0,W,False,Manchester United,Leicester City,0.0,1.0,2.24,3.17,3.49,0.4464285714285714,Moderate
12019,2019,2020-07-26,Everton,Bournemouth,away,Bournemouth,Everton,79,3,1,1,3,3,1,W,False,AFC Bournemouth,Everton,0.0,0.0,2.98,2.24,3.78,0.33557046979865773,Underdog
12021,2019,2020-07-26,Chelsea,Wolverhampton Wanderers,home,Chelsea,Wolverhampton Wanderers,48,2,0,2,0,2,0,W,True,Chelsea,Wolverhampton Wanderers,0.0,0.0,1.84,4.23,3.76,0.5434782608695652,Moderate
14086,2020,2020-09-12,Fulham,Arsenal,away,Arsenal,Fulham,48,2,0,0,3,3,0,W,False,Arsenal,Fulham,0.0,0.0,1.55,5.94,4.34,0.6451612903225806,Strong Favorite
14089,2020,2021-01-20,Manchester City,Aston Villa,home,Manchester City,Aston Villa,89,2,0,2,0,2,0,W,True,Manchester City,Aston Villa,0.0,0.0,1.25,11.36,6.21,0.8,Strong Favorite
14091,2020,2020-09-12,West Ham,Newcastle United,away,Newcastle United,West Ham,86,2,0,0,2,2,0,W,False,Newcastle United,West Ham United,0.0,0.0,3.42,2.15,3.48,0.29239766081871343,Underdog
14092,2020,2020-09-13,West Bromwich Albion,Leicester,away,Leicester,West Bromwich Albion,73,2,0,0,3,3,0,W,False,Leicester City,West Bromwich Albion,0.0,0.0,1.97,3.87,3.57,0.5076142131979695,Moderate
14094,2020,2020-09-14,Sheffield United,Wolverhampton Wanderers,away,Wolverhampton Wanderers,Sheffield United,5,2,0,0,2,2,0,W,False,Wolverhampton Wanderers,Sheffield United,0.0,0.0,2.41,3.36,3.0,0.41493775933609955,Underdog
14095,2020,2020-09-14,Brighton,Chelsea,away,Chelsea,Brighton,65,3,1,1,3,3,1,W,False,Chelsea,Brighton,0.0,0.0,1.65,5.12,4.13,0.6060606060606061,Moderate
14096,2020,2020-09-19,Everton,West Bromwich Albion,home,Everton,West Bromwich Albion,61,4,2,5,2,5,2,W,True,Everton,West Bromwich Albion,0.0,1.0,1.54,6.3,4.25,0.6493506493506493,Strong Favorite
14097,2020,2020-09-19,Leeds,Fulham,home,Leeds,Fulham,49,3,1,4,3,4,3,W,True,Leeds United,Fulham,0.0,0.0,1.64,5.5,3.97,0.6097560975609756,Moderate
14098,2020,2020-09-19,Manchester United,Crystal Palace,away,Crystal Palace,Manchester United,73,2,0,1,3,3,1,W,False,Crystal Palace,Manchester United,0.0,0.0,9.56,1.32,5.57,0.10460251046025104,Underdog
14100,2020,2020-09-20,Southampton,Tottenham,away,Tottenham,Southampton,63,3,1,2,5,5,2,W,False,Tottenham,Southampton,0.0,0.0,2.37,3.1,3.35,0.42194092827004215,Moderate
14101,2020,2020-09-20,Newcastle United,Brighton,away,Brighton,Newcastle United,6,2,0,0,3,3,0,W,False,Brighton,Newcastle United,1.0,0.0,2.82,2.68,3.15,0.3546099290780142,Underdog
14102,2020,2020-09-20,Chelsea,Liverpool,away,Liverpool,Chelsea,53,2,0,0,2,2,0,W,False,Liverpool,Chelsea,0.0,1.0,2.18,3.15,3.72,0.4587155963302752,Moderate
14103,2020,2020-09-20,Leicester,Burnley,home,Leicester,Burnley,60,3,1,4,2,4,2,W,True,Leicester City,Burnley,0.0,0.0,1.63,5.64,3.98,0.6134969325153374,Moderate
14105,2020,2020-09-21,Wolverhampton Wanderers,Manchester City,away,Manchester City,Wolverhampton Wanderers,31,2,0,1,3,3,1,W,False,Manchester City,Wolverhampton Wanderers,0.0,0.0,1.54,6.11,4.35,0.6493506493506493,Strong Favorite
14108,2020,2020-09-26,West Bromwich Albion,Chelsea,home,West Bromwich Albion,Chelsea,24,2,0,3,3,3,3,D,True,West Bromwich Albion,Chelsea,0.0,0.0,8.24,1.38,5.02,0.12135922330097088,Underdog
14112,2020,2020-09-27,Manchester City,Leicester,away,Leicester,Manchester City,57,3,1,2,5,5,2,W,False,Leicester City,Manchester City,0.0,0.0,9.68,1.29,5.93,0.10330578512396695,Underdog
14113,2020,2020-09-27,West Ham,Wolverhampton Wanderers,home,West Ham,Wolverhampton Wanderers,56,2,0,4,0,4,0,W,True,West Ham United,Wolverhampton Wanderers,0.0,0.0,3.74,2.07,3.38,0.267379679144385,Underdog
14114,2020,2020-09-28,Fulham,Aston Villa,away,Aston Villa,Fulham,14,2,0,0,3,3,0,W,False,Aston Villa,Fulham,0.0,0.0,2.52,2.92,3.26,0.3968253968253968,Underdog
14115,2020,2020-09-28,Liverpool,Arsenal,home,Liverpool,Arsenal,87,3,1,3,1,3,1,W,True,Liverpool,Arsenal,0.0,0.0,1.49,6.3,4.68,0.6711409395973155,Strong Favorite
14465,2020,2020-10-04,Arsenal,Sheffield United,home,Arsenal,Sheffield United,63,2,0,2,1,2,1,W,True,Arsenal,Sheffield United,0.0,0.0,1.56,6.25,4.09,0.641025641025641,Strong Favorite
14466,2020,2020-10-04,Aston Villa,Liverpool,home,Aston Villa,Liverpool,21,2,0,7,2,7,2,W,True,Aston Villa,Liverpool,0.0,0.0,9.35,1.33,5.41,0.10695187165775401,Underdog
14467,2020,2020-10-03,Chelsea,Crystal Palace,home,Chelsea,Crystal Palace,65,2,0,4,0,4,0,W,True,Chelsea,Crystal Palace,0.0,0.0,1.43,7.39,4.77,0.6993006993006994,Strong Favorite
14468,2020,2020-10-03,Everton,Brighton,home,Everton,Brighton,51,3,1,4,2,4,2,W,True,Everton,Brighton,0.0,0.0,1.76,4.79,3.73,0.5681818181818182,Moderate
14470,2020,2020-10-04,Leicester,West Ham,away,West Ham,Leicester,33,2,0,0,3,3,0,W,False,West Ham United,Leicester City,0.0,0.0,4.86,1.68,4.12,0.20576131687242796,Underdog
14471,2020,2020-10-04,Manchester United,Tottenham,away,Tottenham,Manchester United,30,3,1,1,6,6,1,W,False,Tottenham,Manchester United,0.0,1.0,3.97,1.92,3.71,0.2518891687657431,Underdog
14472,2020,2020-10-03,Newcastle United,Burnley,home,Newcastle United,Burnley,76,3,1,3,1,3,1,W,True,Newcastle United,Burnley,0.0,0.0,2.47,3.08,3.15,0.4048582995951417,Underdog
14473,2020,2020-10-04,Southampton,West Bromwich Albion,home,Southampton,West Bromwich Albion,68,2,0,2,0,2,0,W,True,Southampton,West Bromwich Albion,0.0,0.0,1.76,4.58,3.86,0.5681818181818182,Moderate
14475,2020,2020-10-17,Chelsea,Southampton,home,Chelsea,Southampton,28,2,0,3,3,3,3,D,True,Chelsea,Southampton,0.0,0.0,1.53,5.92,4.56,0.6535947712418301,Strong Favorite
14481,2020,2020-10-17,Newcastle United,Manchester United,away,Manchester United,Newcastle United,89,3,1,1,4,4,1,W,False,Manchester United,Newcastle United,0.0,0.0,1.7,4.78,4.08,0.5882352941176471,Moderate
14483,2020,2020-10-18,Tottenham,West Ham,home,Tottenham,West Ham,7,2,0,3,3,3,3,D,True,Tottenham,West Ham United,0.0,0.0,1.62,5.34,4.19,0.6172839506172839,Moderate
14486,2020,2020-10-23,Aston Villa,Leeds,away,Leeds,Aston Villa,66,2,0,0,3,3,0,W,False,Leeds United,Aston Villa,0.0,0.0,3.33,2.11,3.75,0.3003003003003003,Underdog
14489,2020,2020-10-24,Fulham,Crystal Palace,away,Crystal Palace,Fulham,63,2,0,1,2,2,1,W,False,Crystal Palace,Fulham,0.0,1.0,2.77,2.74,3.14,0.36101083032490977,Underdog
14492,2020,2020-10-25,Southampton,Everton,home,Southampton,Everton,34,2,0,2,0,2,0,W,True,Southampton,Everton,0.0,1.0,2.78,2.54,3.47,0.3597122302158274,Underdog
14495,2020,2020-11-01,Aston Villa,Southampton,away,Southampton,Aston Villa,32,2,0,3,4,4,3,W,False,Southampton,Aston Villa,0.0,0.0,2.78,2.46,3.6,0.3597122302158274,Underdog
14496,2020,2020-10-31,Burnley,Chelsea,away,Chelsea,Burnley,62,2,0,0,3,3,0,W,False,Chelsea,Burnley,0.0,0.0,1.54,6.05,4.37,0.6493506493506493,Strong Favorite
14497,2020,2020-11-02,Fulham,West Bromwich Albion,home,Fulham,West Bromwich Albion,29,2,0,2,0,2,0,W,True,Fulham,West Bromwich Albion,0.0,0.0,2.44,3.01,3.32,0.4098360655737705,Underdog
14498,2020,2020-11-02,Leeds,Leicester,away,Leicester,Leeds,20,2,0,1,4,4,1,W,False,Leicester City,Leeds United,0.0,0.0,2.68,2.56,3.56,0.3731343283582089,Underdog
14501,2020,2020-11-01,Newcastle United,Everton,home,Newcastle United,Everton,83,2,0,2,1,2,1,W,True,Newcastle United,Everton,0.0,0.0,3.71,2.06,3.47,0.2695417789757412,Underdog
14504,2020,2020-10-30,Wolverhampton Wanderers,Crystal Palace,home,Wolverhampton Wanderers,Crystal Palace,26,2,0,2,0,2,0,W,True,Wolverhampton Wanderers,Crystal Palace,0.0,1.0,2.05,4.27,3.13,0.48780487804878053,Moderate
14505,2020,2020-11-08,Arsenal,Aston Villa,away,Aston Villa,Arsenal,71,2,0,0,3,3,0,W,False,Aston Villa,Arsenal,0.0,0.0,4.92,1.7,3.97,0.2032520325203252,Underdog
