event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
7180_Manchester United,7180,2017-2018,Manchester United,Crystal Palace,31-45+,34,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.17,15.0,7.0,0.8547008547008548,Strong Favorite
7182_West Bromwich Albion,7182,2017-2018,West Bromwich Albion,Watford,16-30,20,False,True,2,0,2-0,2,2,D,0,1,0,1,2,0,0,2.15,3.5,3.2,0.4651162790697674,Moderate
7186_Arsenal,7186,2017-2018,Arsenal,Brighton,46-60,55,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.2,13.0,6.5,0.8333333333333334,Strong Favorite
7194_Manchester City,7194,2017-2018,Manchester City,Stoke City,16-30,18,False,True,2,0,2-0,7,2,W,1,0,0,3,0,0,0,1.14,21.0,9.5,0.8771929824561404,Strong Favorite
7196_Swansea City,7196,2017-2018,Swansea City,Huddersfield,31-45+,47,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.2,3.75,3.25,0.4545454545454545,Moderate
7199_Chelsea,7199,2017-2018,Chelsea,Watford,76-90+,94,True,True,4,2,4-2,4,2,W,1,0,0,3,0,0,0,1.36,10.0,5.25,0.7352941176470588,Strong Favorite
7200_Arsenal,7200,2017-2018,Arsenal,Everton,61-75,73,False,False,3,1,3-1,5,2,W,1,0,0,3,0,0,1,2.04,3.79,3.6,0.4901960784313725,Moderate
7201_Huddersfield,7201,2017-2018,Huddersfield,Manchester United,31-45+,32,False,True,2,0,2-0,2,1,W,1,0,0,3,0,0,0,11.0,1.36,5.0,0.0909090909090909,Underdog
7202_Manchester City,7202,2017-2018,Manchester City,Burnley,61-75,72,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.11,26.0,12.0,0.9009009009009008,Strong Favorite
7205_AFC Bournemouth,7205,2017-2018,AFC Bournemouth,Stoke City,16-30,17,False,False,2,0,2-0,2,1,W,1,0,0,3,0,0,0,3.6,2.14,3.5,0.2777777777777778,Underdog
